candidate,party,criminal_cases,education,age,total_assets,total_assets_rs,liabilities,liabilities_rs,2026_constituency,2026_district,is_winner,myneta_url,self_profession,spouse_profession,education_details,criminal_cases_details,election_expenditure,pan_given,serious_ipc_counts,movable_assets_rs,immovable_assets_rs
Sivasankaran.K,IND,0,Graduate,38,"Rs 4,00,000 ~ 4 Lacs+",400000,Rs 0 ~,0,VRIDHACHALAM,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1909,daily wage,Housewife,"Category: Graduate B.Sc., Urumu Dhanalakshmi College, Tiruchirappalli-2008",,,Y,0,400000,0
Srinivasan.R,IND,0,10th Pass,53,"Rs 15,000 ~ 15 Thou+",15000,Rs 0 ~,0,VRIDHACHALAM,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=374,Business,Not married,"Category: 10th Pass 10 th STD Pass, Virudhachalam / 1990",,,Y,0,15000,0
Vijay.S,Tamilaga Vettri Kazhagam,1,Graduate,40,"Rs 81,80,794 ~ 81 Lacs+",8180794,,1903843,VRIDHACHALAM,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=904,Vijay Traders,"Honorary Lecturer, VP Digital Printers & Studio",Category: Graduate B.Sc. (Physics) from Periyar Arts & Science College (Madras University) in 2005,charges related to Wrongfully restraining any person. (BNS Section-126(2)); charges related to Being member of an unlawful assembly. (BNS Section-189(2)); charges related to Disobedience to order duly promulgated by public servant (BNS Section-223),,Y,0,6680794,1500000
Rajendran.R,AIADMK,0,12th Pass,66,"Rs 23,27,78,350 ~ 23 Crore+",232778350,Rs 0 ~,0,NEYVELI,CUDDALORE,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1205,Agriculture,Housewife,"Category: 12th Pass 12th Std. From S.K.V. Higher Secondary School, Kurinjipadi In 1979-80, B.A Not Passed From Urumu Thanalekusumi College. Kattur Trichy In 1981-84.",,,Y,0,19977067,212801283
Anand.K,Tamilaga Vettri Kazhagam,0,Graduate Professional,40,"Rs 3,07,05,040 ~ 3 Crore+",30705040,"Rs 14,63,099 ~ 14 Lacs+",1463099,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=895,Farmer,Self-Employment,Category: Graduate Professional B.E. (Mechnical) From Annamalai University In 2006,,,Y,0,12288040,18417000
Chezhiyan.G,IND,0,Post Graduate,39,"Rs 7,07,718 ~ 7 Lacs+",707718,Rs 0 ~,0,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3062,Agriculture,House Wife,"Category: Post Graduate MBA From Thirumalai Engineering College, Kanchipuram In Year - 2007-2009, BBA From Jawahar Arts & Science College, Neyveli In 2004-2007",,,Y,0,707718,0
Jothimurugan.V,BSP,0,12th Pass,42,"Rs 12,01,000 ~ 12 Lacs+",1201000,,0,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=896,Artist (Painter),House Wife,Category: 12th Pass 12th Pass,,,Y,0,1201000,0
Karthikeyan.C.M,IND,0,Graduate Professional,34,"Rs 18,23,510 ~ 18 Lacs+",1823510,Rs 0 ~,0,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3060,Self Employed,NIL,"Category: Graduate Professional B.E. (EEE) From A K T Memorial College Of Engineering & Technology, Kallakurechi, Year - 2009 - 2013",,,Y,0,1823510,0
Manimaran.P,IND,0,8th Pass,45,"Rs 23,95,000 ~ 23 Lacs+",2395000,"Rs 2,00,000 ~ 2 Lacs+",200000,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3063,Agriculture,Deceased,Category: 8th Pass 10th Fail In 1996,,,Y,0,245000,2150000
Mayakrishnan.K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,5th Pass,50,"Rs 7,60,000 ~ 7 Lacs+",760000,,0,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=899,Salon,NIL,Category: 5th Pass 5th Standard,,,Y,0,260000,500000
Saba.Rajendran,DMK,0,Graduate Professional,64,"Rs 14,21,41,844 ~ 14 Crore+",142141844,"Rs 4,39,67,607 ~ 4 Crore+",43967607,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1206,Agriculture,Housewife,"Category: Graduate Professional B.E From JMIT Collge Mysore University In 1989, BSC From Annamalai University In 1981",,,Y,0,47041844,95100000
Sathiyaseelan.M,IND,0,Post Graduate,44,"Rs 20,48,500 ~ 20 Lacs+",2048500,,0,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3061,Lawyer,House Wife,"Category: Post Graduate MA from Annamalai University, Chidambaram In 2007, BL from Dr. Amedkar Law College, Bangalore-2014",,,Y,0,48500,2000000
Thirumalvalavan.T,Tamizhaga Vaazhvurimai Katchi,3,Post Graduate,56,"Rs 10,96,25,073 ~ 10 Crore+",109625073,"Rs 13,45,19,463 ~ 13 Crore+",134519463,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3059,Agriculture & Business,House Wife,"Category: Post Graduate M.A From Annamalai University, Chidambaram, Cuddalore Dist, Year - 2008","charges related to Attempt to murder (IPC Section-307); charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324); charges related to Voluntarily causing grievous hurt by dangerous weapons or means (IPC Section-326); charges related to Section 505(2) (IPC Section-505(2)); charges related to Punishment for Rioting (IPC Section-147); charges related to Rioting, armed with deadly weapon (IPC Section-148); charges related to Punishment for voluntarily causing hurt (IPC Section-323); charges related to Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment (IPC Section-109); charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Intentional insult with intent to provoke breach of the peace (IPC Section-504)",,Y,6,54050573,55574500
Veeramani.B,Naam Tamilar Katchi,4,Others,46,"Rs 1,33,93,630 ~ 1 Crore+",13393630,"Rs 46,68,600 ~ 46 Lacs+",4668600,NEYVELI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=107,Self Employed,House Wife,"Category: Others D.E.E.E, From Ayush ODL International University In 2023, ITI From Sakthi ITI, Panruti In 2000, SSLC From R.K. Govt. HR Sec School Kadampuliyur In 1998","charges related to If threat be to cause death or grievous hurt, etc. (BNS Section-351(3)); charges related to Assault or use of criminal force to woman to outrage her modesty. (BNS Section-74); charges related to Voluntarily causing hurt by dangerous weapons or means. (BNS Section-118(1)); charges related to Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation. (BNS Section-133); charges related to Dishonest misappropriation of movable property, or converting it to one's own use. (BNS Section-314); charges related to Rash driving or riding on a public way (IPC Section-279); charges related to Causing hurt by act endangering life or personal safety of others (IPC Section-337); charges related to Causing grievous hurt by act endangering life or personal safety of others (IPC Section-338); charges related to Punishment for voluntarily causing hurt (BNS Section-115(2)); charges related to House-trespass. (BNS Section-329(4))",,Y,0,7793630,5600000
Mohan. K,AIADMK,5,8th Pass,43,"Rs 5,58,13,515 ~ 5 Crore+",55813515,"Rs 2,71,88,948 ~ 2 Crore+",27188948,PANRUTI,CUDDALORE,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1209,Tomato Business,Tomato Business,"Category: 8th Pass 9th Pass From Government High School, Ammapalayam, Perambalur District, Year-1998-99",charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Disobedience to order duly promulgated by public servant (IPC Section-188); charges related to Continuance of nuisance after injunction to discontinue (IPC Section-291),,Y,0,32877125,22936390
Abdur Rahman. A.R,Viduthalai Chiruthaigal Katchi,0,12th Pass,62,"Rs 15,06,54,235 ~ 15 Crore+",150654235,"Rs 12,000 ~ 12 Thou+",12000,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1210,Social Activist,House Wife,"Category: 12th Pass 12th Standard From Paruvatha Raja Gurukulam,Higher Secondary School, Kattumannarkoil, Year-1982",,,Y,0,2802235,147852000
Banupriya. M,Naam Tamilar Katchi,0,Post Graduate,32,"Rs 12,47,000 ~ 12 Lacs+",1247000,"Rs 5,38,000 ~ 5 Lacs+",538000,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=118,Teacher,Private Company Employee,Category: Post Graduate B.Ed. From Tamil Nadu Teachers University in 2014 & M.A From Manomaniyam Sundaranar University in 2018,,,Y,0,1247000,0
Manikandan. M,Tamilaga Vettri Kazhagam,0,Graduate Professional,35,"Rs 1,89,10,899 ~ 1 Crore+",18910899,,4276327,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=237,Software Engineering,Housewife,"Category: Graduate Professional B.E-( CSE ) From Anna University, Coimbatore, Year- 2012",,,Y,0,13610899,5300000
Mohammed Safi. A,IND,0,Graduate Professional,25,"Rs 15,30,985 ~ 15 Lacs+",1530985,Rs 0 ~,0,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2251,Entrepreneur (Founder Ayyuf Industries) / Former Software Profession,NA,"Category: Graduate Professional B.E. (Mechanical Engineering) From Sri Venkateshwara College Of Engineering Sriperumbudur (Affiliated To Anna University Chennai), Year-2021",,,Y,0,1530985,0
Prakash. R,Thamizhaka Padaippalar Makkal Katchi,0,Post Graduate,41,"Rs 46,00,397 ~ 46 Lacs+",4600397,,1030000,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2250,Institute,Housewife,"Category: Post Graduate M.D. Acu. From Alternative Medicine Institute Rajasthan 2021, B.A.S.M. From Indian Board Of Alternative Medicine Kolkatta 2009 & M.B.A. From Pondicherry University, Pondicherry, Year- 2013",,,Y,0,1040397,3560000
Ramalingam. A,IND,0,10th Pass,76,"Rs 1,15,05,000 ~ 1 Crore+",11505000,Rs 0 ~,0,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2252,Defence Research Tech Asst B,Housewife,Category: 10th Pass SSLC From Govt. Higher Secondary School Panruti 1967-1968,,,Y,0,1505000,10000000
Srikanthu. S,BSP,0,10th Pass,42,"Rs 7,99,000 ~ 7 Lacs+",799000,Rs 0 ~,0,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2248,Real Estate,Housewife,"Category: 10th Pass 10th Std. From Govt. High School Kozhipakkam, Year- 1997-1998",,,Y,0,799000,0
Surendar. R,Tamizhaga Vaazhvurimai Katchi,1,Post Graduate,42,"Rs 43,36,828 ~ 43 Lacs+",4336828,,0,PANRUTI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2249,Agriculture,Homemaker,"Category: Post Graduate M.A. From Annamalai University Chidambaram, Year- 2005","charges related to Attempt to murder (IPC Section-307); charges related to Voluntarily causing grievous hurt by dangerous weapons or means (IPC Section-326); charges related to Punishment of criminal conspiracy (IPC Section-120B); charges related to Acts done by several persons in furtherance of common intention (IPC Section-34); charges related to Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment (IPC Section-109)",,Y,2,3690828,646000
B.Rajkumar,Tamilaga Vettri Kazhagam,2,Others,46,"Rs 45,36,110 ~ 45 Lacs+",4536110,"Rs 39,17,441 ~ 39 Lacs+",3917441,CUDDALORE,CUDDALORE,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=890,Real Estate/ Business,House Wife,"Category: Others DME (Diploma in Mechanical Engineering) From Muthiah Polytechnic, Chidambaram in Oct 2002",charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Disobedience to order duly promulgated by public servant (IPC Section-188); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Being member of an unlawful assembly. (BNS Section-189(2)); charges related to Continuance of nuisance after injunction to discontinue. (BNS Section-293),,Y,0,4326110,210000
A.S.Chandarasekaran,INC,0,Graduate Professional,58,"Rs 9,20,73,754 ~ 9 Crore+",92073754,"Rs 64,37,783 ~ 64 Lacs+",6437783,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1384,Lawyer (Private Practice),"Deputy District Magistrate, Cuddalore","Category: Graduate Professional B.A, B.L. From Salem Central Law College Dr. Ambedkar University Year 1994",,,Y,0,24393754,67680000
E.Farook Ali,IND,1,8th Pass,57,"Rs 19,06,745 ~ 19 Lacs+",1906745,,75000,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3438,Fish Business,Housewife,Category: 8th Pass 10th Fail From St. Davids HSS Cuddalore Port - Year 1984,charges related to Punishment for Rioting (IPC Section-147),,Y,0,1206745,700000
E.Gurubaran,IND,0,Graduate Professional,34,"Rs 7,01,000 ~ 7 Lacs+",701000,Rs 0 ~,0,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3436,Lawyer,No,"Category: Graduate Professional B.A., B.L., Dr. Ambedkar Law College, Chengalpattu In 20215.",,,Y,0,701000,0
K.Lenin,Tamizhaga Vaazhvurimai Katchi,1,Graduate Professional,48,"Rs 1,60,13,300 ~ 1 Crore+",16013300,"Rs 1,72,000 ~ 1 Lacs+",172000,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=893,Advocate,House Wife,"Category: Graduate Professional B.A.,B.L. From Dr. Ambedkar Law College Chennai Year 1999-2002",charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Danger or obstruction in public way or line of navigation (IPC Section-283),,Y,0,5929300,10084000
M.C.Sampath,AIADMK,1,Graduate Professional,67,"Rs 65,76,77,160 ~ 65 Crore+",657677160,,188648964,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1383,Pension,"Housewife, Agriculture, Rent ,Other Income","Category: Graduate Professional B.Sc. Chemistry, Presidency College, Madras University-1977-1980 Year",charges related to Kidnapping or abducting with intent secretly and wrongfully to confine person (IPC Section-365); charges related to Punishment for Rioting (IPC Section-147); charges related to Punishment for voluntarily causing hurt (IPC Section-323); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Punishment of criminal conspiracy (IPC Section-120B); charges related to Acts done by several persons in furtherance of common intention (IPC Section-34),,Y,1,120431300,537245860
P.Nagasundaram,IND,5,Post Graduate,43,"Rs 58,49,180 ~ 58 Lacs+",5849180,"Rs 89,000 ~ 89 Thou+",89000,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=690,Advocate,House wife,"Category: Post Graduate M.A., B.L., Ph.D From Dr. Ambedkar Law College Chennai - year 2011","charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324); charges related to Attempt to murder (IPC Section-307); charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332); charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Disobedience to order duly promulgated by public servant (IPC Section-188); charges related to Punishment for Rioting (IPC Section-147); charges related to Punishment for voluntarily causing hurt (IPC Section-323); charges related to Punishment for assault or criminal force otherwise than on grave provocation (IPC Section-352); charges related to Assault or criminal force with intent to dishonour person, otherwise than on grave provocation (IPC Section-355); charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269); charges related to Rioting, armed with deadly weapon (IPC Section-148); charges related to Being member of an unlawful assembly. (BNS Section-189(2)); charges related to Continuance of nuisance after injunction to discontinue. (BNS Section-293)",,Y,3,1349180,4500000
P.Natarajan,BSP,0,Graduate Professional,43,"Rs 12,06,000 ~ 12 Lacs+",1206000,Rs 0 ~,0,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=892,Advocate,Housewife,Category: Graduate Professional BCA.DCS.B.L From SBRTM Law College Kadapa Andhrapradesh Year 2014.,,,Y,0,466000,740000
R. Veeramani,IND,0,8th Pass,30,"Rs 4,69,698 ~ 4 Lacs+",469698,,0,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3435,House Wife,Wages,"Category: 8th Pass 9th Std Not Passed Govt Girs Higher Secondary School , Nellikuppam 607105 In 2008.",,,Y,0,469698,0
R.Mayavan,IND,0,10th Pass,52,"Rs 67,25,968 ~ 67 Lacs+",6725968,Rs 0 ~,0,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=894,Driver,House Wife,Category: 10th Pass 10th From Municipal High School Cuddalore Year (1989-1990),,,Y,0,3725968,3000000
R.Ramachandran,IND,0,Graduate Professional,41,"Rs 35,04,000 ~ 35 Lacs+",3504000,"Rs 25,00,000 ~ 25 Lacs+",2500000,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=686,Advocate,House Wife,"Category: Graduate Professional B.Com., LL.B. From Andhra University Andhra Pradesh - Year 2017",,,Y,0,2004000,1500000
S. Ramasamy,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,10th Pass,70,"Rs 40,45,000 ~ 40 Lacs+",4045000,,0,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3434,Agriculture,Housewife,Category: 10th Pass SSLC Old,,,Y,0,1145000,2900000
S.Rajamohan,IND,0,Post Graduate,72,"Rs 78,00,000 ~ 78 Lacs+",7800000,Rs 0 ~,0,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=687,"Retired Superintendent, Public Works Department",Housewife,"Category: Post Graduate SSLC (Old), M.A., M.Phil.",,,Y,0,800000,7000000
S.Sarasu,Naam Tamilar Katchi,0,Post Graduate,40,"Rs 1,67,25,000 ~ 1 Crore+",16725000,"Rs 8,10,000 ~ 8 Lacs+",810000,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=32,House Wife,Agriculture,"Category: Post Graduate Master of Commerce From Alagappa University in 2015, Bachelor of Commerce From University of Chennai in 2005",,,Y,0,1725000,15000000
V. Suganthi,IND,0,12th Pass,30,"Rs 8,43,000 ~ 8 Lacs+",843000,,0,CUDDALORE,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3437,Housewife,Painter,"Category: 12th Pass 12th Standard Passed, Sri Womens Higher Secondary Venugopalapuram Cuddalore 607001",,,Y,0,593000,250000
M.R.K.Panneerselvam,DMK,2,Graduate Professional,68,"Rs 12,86,86,528 ~ 12 Crore+",128686528,,1876592,KURINJIPADI,CUDDALORE,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1359,Farming,Transport Business and Agriculture,"Category: Graduate Professional B.L., (Bachelor of Law) DR. Ambedkar Law College , Chennai , University of Chennai-October 1985. B.Sc., (Bachelor of Science in Zoology), Poondi Chennai University in 1978-1981","charges related to Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment (IPC Section-109)",,Y,0,22926719,105759809
A Bhuvanenthiran,AIADMK,1,12th Pass,60,"Rs 10,98,40,857 ~ 10 Crore+",109840857,"Rs 1,49,02,790 ~ 1 Crore+",14902790,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1358,Businees,Business,Category: 12th Pass 12th from St.Davida Hr.Sec.School Year 1983,charges related to Criminal breach of trust by clerk or servant (IPC Section-408); charges related to Falsification of accounts (IPC Section-477A); charges related to Punishment of criminal conspiracy (IPC Section-120B); charges related to Using as genuine a forged document or electronic record (IPC Section-471),,Y,2,85340857,24500000
Arumugam R,IND,0,Others,50,"Rs 21,50,000 ~ 21 Lacs+",2150000,Rs 0 ~,0,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3066,Contract Worker,NIL,Category: Others ITI,,,Y,0,2150000,0
Dhanakesavamoorthy A.C.T,IND,0,Post Graduate,57,"Rs 45,80,000 ~ 45 Lacs+",4580000,,600000,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=819,Social Service,Village Assistant,Category: Post Graduate M.Com From Annamalai University (Correspondence) Year (1999-2002),,,Y,0,2080000,2500000
Kavitha Renganathan,Naam Tamilar Katchi,0,Post Graduate,48,"Rs 99,17,000 ~ 99 Lacs+",9917000,"Rs 1,80,000 ~ 1 Lacs+",180000,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=275,NIL,Fishermen and Electrician,"Category: Post Graduate M.A. From Bharathidasan University, Trichy (2000)., M.Phil. From Bharathidasan University, Trichy(2002)",,,Y,0,3417000,6500000
M Kanagaraj,BSP,0,Graduate Professional,36,"Rs 24,10,000 ~ 24 Lacs+",2410000,"Rs 4,00,000 ~ 4 Lacs+",400000,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=820,Advocate (Lawyer),House Wife,"Category: Graduate Professional B.A, B.L. Passed From Chennai Ambedkar Law College Year 2013",,,Y,0,2410000,0
Manimala R,IND,0,5th Pass,48,"Rs 2,35,000 ~ 2 Lacs+",235000,"Rs 3,00,000 ~ 3 Lacs+",300000,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3067,Agricultural Wages,Deceased,"Category: 5th Pass 7th Fail, Year - 1990",,,Y,0,235000,0
Muthazhagan N,IND,0,12th Pass,55,"Rs 2,15,000 ~ 2 Lacs+",215000,"Rs 70,000 ~ 70 Thou+",70000,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3068,Agriculture,Agriculture,"Category: 12th Pass B.Com, (Discountinued) From Govt Arts College, C Mutlur, Chidambaram",,,Y,0,115000,100000
R Srinivasan,Tamil Telugu National Party,0,10th Pass,52,"Rs 25,35,500 ~ 25 Lacs+",2535500,,1097000,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3065,Self employed,Housewife,"Category: 10th Pass 10th, 11th, (discontinued) ITI , NLC, ITI , Aappantif",,,Y,0,2015000,520500
Rajkumar D,Tamilaga Vettri Kazhagam,0,Others,40,"Rs 3,23,37,030 ~ 3 Crore+",32337030,"Rs 2,75,40,442 ~ 2 Crore+",27540442,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=323,Self employed,Software Engineer,"Category: Others Diploma in Electronics and Communication Engineering (Karnataka University, Pondicherry 2015, 10th From Government Higher Secondary School Year 2001",,,Y,0,14837030,17500000
T Kannan,Tamizhaga Vaazhvurimai Katchi,3,10th Pass,49,"Rs 13,26,22,180 ~ 13 Crore+",132622180,"Rs 3,84,27,989 ~ 3 Crore+",38427989,KURINJIPADI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3064,Agriculture and Business,Housewife,"Category: 10th Pass SSLC From St. Joseph Hr. Sec. School, Manjakuppam Cuddalore-1993","charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324); charges related to Attempt to murder (IPC Section-307); charges related to Section 505(2) (IPC Section-505(2)); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Punishment for Rioting (IPC Section-147); charges related to Rioting, armed with deadly weapon (IPC Section-148); charges related to Punishment for voluntarily causing hurt (IPC Section-323); charges related to Intentional insult with intent to provoke breach of the peace (IPC Section-504); charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Danger or obstruction in public way or line of navigation (IPC Section-283)",,Y,3,48622680,83999500
Arunmozhithevan . A,AIADMK,1,Graduate Professional,57,"Rs 5,01,69,063 ~ 5 Crore+",50169063,"Rs 25,00,000 ~ 25 Lacs+",2500000,BHUVANAGIRI,CUDDALORE,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1150,Agriculture and Lawyer,Housewife,"Category: Graduate Professional Bachelor of Laws- Central Law College, Salem-June 1991, B.Sc- Jamal Mohamad College, trichy-April 1988",charges related to Punishment for Being member of an unlawful assembly (IPC Section-143),,Y,0,18169063,32000000
Arunmozhi . V,IND,0,Post Graduate,28,"Rs 4,82,821 ~ 4 Lacs+",482821,Rs 0 ~,0,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3429,Private Company,NIL,"Category: Post Graduate M.B.A 2022, Uiversity Of Madras In 2022, B.E (Civil) Anna University In 2018.",,,Y,0,32821,450000
Balamurugan . G. C,IND,0,10th Pass,44,"Rs 11,23,784 ~ 11 Lacs+",1123784,,0,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=889,Agriculture,Agriculture,Category: 10th Pass SSLC from Government Boy`s Higher Secondary School Bhuvanagiri 1996,,,Y,0,1123784,0
Balamurugan . M. R,IND,0,Post Graduate,45,"Rs 7,95,000 ~ 7 Lacs+",795000,Rs 0 ~,0,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3433,MRB Super Market,Housewife,"Category: Post Graduate M.A., History, Bharathidasan University In 2015.",,,Y,0,795000,0
Ezhilventhan . P,IND,0,12th Pass,59,"Rs 37,01,898 ~ 37 Lacs+",3701898,Rs 0 ~,0,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3430,,Housewife,"Category: 12th Pass H.S.C +2 Govt Boys Higher Secondary School, Bhuvanagiri In 1983-84.",,,Y,0,1034178,2667720
Iyyappan . S,IND,0,Graduate Professional,27,"Rs 11,000 ~ 11 Thou+",11000,,1078000,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3431,Daily Wages,No,"Category: Graduate Professional B.E., Mechnical Eng. (2019), AMS Engineering College, Namakkal.",,,Y,0,11000,0
Kumaravelu . M,BSP,0,Others,51,"Rs 6,22,000 ~ 6 Lacs+",622000,"Rs 80,000 ~ 80 Thou+",80000,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=677,Daily wage,Tailor,Category: Others Diploma Fail,,,Y,0,622000,0
Mahalingam . T,Tamilaga Vettri Kazhagam,1,12th Pass,48,"Rs 11,65,69,749 ~ 11 Crore+",116569749,"Rs 2,72,48,403 ~ 2 Crore+",27248403,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=887,"Managing Director  Angeeswari Chit Funds P Ltd, M.A Nayara Agency","Managing Director  Angeeswari Chit Funds P Ltd,","Category: 12th Pass HSC from DGM Hr.Sec.School, Sethiyathope 1995",,,Y,0,81204949,35364800
Muthamizhan . Seva,Tamizhaga Vaazhvurimai Katchi,0,Graduate,32,"Rs 41,78,750 ~ 41 Lacs+",4178750,,5600000,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3428,Doctor,NLC Staff,"Category: Graduate M.B.B.S., - Dr.M.G.R University - year 2019",,,Y,0,4178750,0
Raja Sekar . G,IND,0,Graduate,28,"Rs 85,41,000 ~ 85 Lacs+",8541000,"Rs 5,10,000 ~ 5 Lacs+",510000,BHUVANAGIRI,CUDDALORE,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=888,Agriculture,NA,Category: Graduate B.com (CA) Science College Perambalur 2017,,,Y,0,541000,8000000
